Data;exportacoes
2000.01;3.446.768.506
2000.02;4.120.793.391
2000.03;4.467.447.649
2000.04;4.170.220.598
2000.05;5.060.389.264
2000.06;4.850.102.157
2000.07;5.000.307.451
2000.08;5.516.407.914
2000.09;4.705.729.616
2000.10;4.634.820.927
2000.11;4.374.176.633
2000.12;4.645.995.542
2001.01;4.528.675.856
2001.02;4.062.887.664
2001.03;5.153.769.468
2001.04;4.713.703.708
2001.05;5.362.183.737
2001.06;5.033.408.207
2001.07;4.957.564.819
2001.08;5.719.937.959
2001.09;4.738.230.423
2001.10;4.943.932.135
2001.11;4.487.381.285
2001.12;4.330.618.982
2002.01;3.952.038.148
2002.02;3.652.691.211
2002.03;4.251.755.321
2002.04;4.612.069.084
2002.05;4.424.075.300
2002.06;4.064.856.073
2002.07;6.202.182.481
2002.08;5.738.521.055
2002.09;6.478.828.752
2002.10;6.456.465.000
2002.11;5.102.634.927
2002.12;5.211.040.751
2003.01;4.780.278.337
2003.02;4.981.697.380
2003.03;5.209.857.493
2003.04;5.681.705.996
2003.05;6.363.120.746
2003.06;5.851.302.730
2003.07;6.087.497.688
2003.08;6.386.781.075
2003.09;7.255.157.716
2003.10;7.532.647.324
2003.11;5.918.226.834
2003.12;6.728.473.371
2004.01;5.785.343.912
2004.02;5.715.580.929
2004.03;7.907.130.664
2004.04;6.581.422.428
2004.05;7.921.661.037
2004.06;9.306.490.756
2004.07;8.962.900.814
2004.08;9.039.689.359
2004.09;8.910.068.943
2004.10;8.177.723.377
2004.11;8.145.723.119
2004.12;8.667.937.031
2005.01;7.480.600.323
2005.02;7.777.720.295
2005.03;9.258.176.578
2005.04;9.247.138.198
2005.05;9.849.729.906
2005.06;10.220.075.837
2005.07;11.084.278.042
2005.08;11.345.352.257
2005.09;10.658.371.596
2005.10;9.929.497.189
2005.11;10.841.578.180
2005.12;10.905.317.006
2006.01;9.282.148.569
2006.02;8.757.143.569
2006.03;11.379.482.701
2006.04;9.822.123.658
2006.05;10.277.429.381
2006.06;11.441.854.586
2006.07;13.637.840.111
2006.08;13.646.473.652
2006.09;12.556.054.220
2006.10;12.655.903.297
2006.11;11.874.489.874
2006.12;12.250.207.591
2007.01;10.966.848.594
2007.02;10.107.260.537
2007.03;12.858.871.518
2007.04;12.433.002.581
2007.05;13.627.574.398
2007.06;13.087.980.628
2007.07;14.086.693.575
2007.08;15.093.709.639
2007.09;13.593.241.730
2007.10;15.744.759.674
2007.11;14.001.345.906
2007.12;14.215.095.053
2008.01;13.234.232.944
2008.02;12.763.889.431
2008.03;12.565.657.530
2008.04;14.038.688.872
2008.05;19.244.058.215
2008.06;18.572.704.209
2008.07;20.401.417.806
2008.08;19.678.943.462
2008.09;19.091.207.639
2008.10;18.423.675.325
2008.11;14.057.917.989
2008.12;13.692.230.755
2009.01;9.663.351.384
2009.02;9.491.899.751
2009.03;11.607.785.367
2009.04;12.221.834.909
2009.05;11.921.111.818
2009.06;14.344.895.088
2009.07;14.050.671.665
2009.08;13.792.127.247
2009.09;13.801.853.467
2009.10;14.015.803.246
2009.11;12.498.222.627
2009.12;14.382.117.617
2010.01;11.153.005.703
2010.02;12.066.643.269
2010.03;15.637.886.925
2010.04;15.074.159.639
2010.05;17.632.178.264
2010.06;17.012.419.860
2010.07;17.555.470.535
2010.08;19.084.996.312
2010.09;18.726.305.741
2010.10;18.136.570.769
2010.11;17.558.595.004
2010.12;20.795.902.805
2011.01;15.031.610.457
2011.02;16.621.034.760
2011.03;19.172.557.483
2011.04;20.083.002.562
2011.05;23.057.404.066
2011.06;22.518.366.011
2011.07;22.193.042.186
2011.08;26.076.703.082
2011.09;23.191.369.933
2011.10;22.056.074.475
2011.11;21.666.081.911
2011.12;21.999.062.581
2012.01;15.949.177.033
2012.02;17.926.499.266
2012.03;20.739.368.495
2012.04;19.461.604.595
2012.05;23.146.072.472
2012.06;19.181.689.510
2012.07;20.837.121.787
2012.08;22.241.316.256
2012.09;19.890.116.135
2012.10;21.187.492.462
2012.11;19.707.711.615
2012.12;19.684.368.532
2013.01;15.757.148.192
2013.02;15.478.937.787
2013.03;18.360.470.433
2013.04;20.550.843.458
2013.05;21.654.862.456
2013.06;19.331.841.435
2013.07;20.357.391.663
2013.08;21.214.505.830
2013.09;20.745.602.464
2013.10;20.636.722.332
2013.11;18.918.406.070
2013.12;19.537.523.486
2014.01;15.741.666.773
2014.02;15.825.850.012
2014.03;17.467.727.891
2014.04;19.577.249.934
2014.05;20.540.376.531
2014.06;20.288.075.461
2014.07;21.921.458.082
2014.08;19.224.653.901
2014.09;19.370.174.258
2014.10;18.169.787.901
2014.11;15.506.384.370
2014.12;17.289.831.724
2015.01;13.481.501.333
2015.02;12.010.576.962
2015.03;16.748.831.110
2015.04;14.986.768.884
2015.05;16.625.676.410
2015.06;18.746.127.441
2015.07;18.334.876.601
2015.08;15.320.171.814
2015.09;15.467.635.572
2015.10;15.762.365.201
2015.11;13.603.593.709
2015.12;15.694.230.026
2016.01;11.024.617.489
2016.02;13.103.865.483
2016.03;15.845.539.947
2016.04;15.082.231.392
2016.05;16.596.334.743
2016.06;16.602.945.756
2016.07;15.142.715.725
2016.08;16.863.031.142
2016.09;15.684.375.284
2016.10;13.594.442.203
2016.11;14.212.824.778
2016.12;15.773.205.272
2017.01;14.827.875.770
2017.02;15.275.976.600
2017.03;19.854.737.707
2017.04;17.484.572.350
2017.05;19.726.040.175
2017.06;19.535.151.809
2017.07;17.658.900.096
2017.08;19.336.799.997
2017.09;18.533.214.138
2017.10;18.694.329.848
2017.11;16.584.235.219
2017.12;17.476.274.644
2018.01;16.769.724.658
2018.02;15.801.987.736
2018.03;20.228.663.646
2018.04;19.678.336.251
2018.05;19.271.601.072
2018.06;19.830.021.392
2018.07;21.055.288.607
2018.08;20.084.138.252
2018.09;19.041.023.535
2018.10;21.671.364.889
2018.11;19.199.739.213
2018.12;19.257.634.148
2019.01;16.638.094.632
2019.02;15.618.080.347
2019.03;17.308.721.624
2019.04;19.090.646.313
2019.05;20.500.498.556
2019.06;18.306.721.692
2019.07;19.920.683.762
2019.08;19.565.551.588
2019.09;18.620.814.373
2019.10;19.483.912.811
2019.11;17.609.813.357
2019.12;18.463.268.592
2020.01;14.429.715.267
2020.02;15.356.449.520
2020.03;18.312.350.349
2020.04;17.593.798.650
2020.05;17.519.841.090
2020.06;17.478.971.342
2020.07;19.416.007.176
2020.08;17.403.775.488
2020.09;18.223.387.712
2020.10;17.649.335.596
2020.11;17.344.900.538
2020.12;18.451.708.927
2021.01;14.947.626.003
2021.02;16.375.290.870
2021.03;24.335.759.852
2021.04;26.059.431.856
2021.05;26.200.662.606
2021.06;28.257.895.138
2021.07;25.508.595.503
2021.08;27.216.375.900
2021.09;24.376.129.510
2021.10;22.602.637.234
2021.11;20.501.766.210
2021.12;24.432.406.778
2022.01;19.779.928.894
2022.02;23.513.305.117
2022.03;29.422.320.196
2022.04;28.969.694.687
2022.05;29.642.851.197
2022.06;32.742.194.543
2022.07;29.844.324.640
2022.08;30.786.908.834
2022.09;28.587.334.142
2022.10;26.852.476.461
2022.11;27.652.303.451
2022.12;26.342.396.058
2023.01;22.796.014.477
2023.02;20.241.628.657
2023.03;32.822.911.866
2023.04;27.100.302.410
2023.05;32.666.140.787
2023.06;29.600.309.149
2023.07;28.300.073.730
2023.08;31.101.089.774
2023.09;28.713.085.056
2023.10;29.681.867.318
2023.11;27.886.116.219
2023.12;28.786.226.565
2024.01;26.702.655.353
2024.02;23.348.254.025
2024.03;27.657.419.417
2024.04;30.327.524.963
2024.05;30.190.264.650
2024.06;28.731.639.979
2024.07;30.841.394.890
2024.08;28.736.329.972
2024.09;28.471.402.288
2024.10;29.300.866.189
2024.11;27.857.365.197
2024.12;24.881.044.787
2025.01;25.398.463.891
2025.02;22.754.336.264
2025.03;28.726.764.985
2025.04;29.886.342.721
2025.05;29.922.566.016
2025.06;29.024.908.702
2025.07;32.124.935.838
2025.08;29.566.980.189
2025.09;30.485.698.600
2025.10;31.497.595.544
2025.11;28.250.015.625
2025.12;31.037.883.762
