Data;importacoes
2000.01;3.654.576.124
2000.02;4.133.068.789
2000.03;4.535.322.503
2000.04;4.078.285.287
2000.05;4.776.280.858
2000.06;4.681.709.174
2000.07;4.960.414.518
2000.08;5.501.973.736
2000.09;5.143.575.956
2000.10;5.327.233.032
2000.11;5.234.186.865
2000.12;4.949.723.328
2001.01;5.088.239.393
2001.02;4.086.700.154
2001.03;5.530.627.595
2001.04;4.693.746.465
2001.05;5.236.592.969
2001.06;4.842.735.186
2001.07;4.938.328.065
2001.08;5.176.029.561
2001.09;4.246.173.613
2001.10;4.837.692.394
2001.11;4.299.682.121
2001.12;3.592.472.666
2002.01;3.886.422.498
2002.02;3.483.558.340
2002.03;3.749.115.387
2002.04;4.225.843.874
2002.05;4.154.270.359
2002.06;3.488.084.005
2002.07;5.105.908.040
2002.08;4.258.142.754
2002.09;4.087.345.435
2002.10;4.369.881.833
2002.11;3.936.118.274
2002.12;3.530.072.754
2003.01;3.739.989.245
2003.02;3.973.073.644
2003.03;3.786.968.109
2003.04;4.081.480.307
2003.05;3.946.386.523
2003.06;3.603.900.663
2003.07;4.122.647.114
2003.08;3.811.538.042
2003.09;4.702.376.781
2003.10;5.107.951.287
2003.11;4.348.297.888
2003.12;4.082.553.549
2004.01;4.293.740.267
2004.02;3.833.804.921
2004.03;5.422.843.187
2004.04;4.713.721.088
2004.05;4.917.995.334
2004.06;5.614.818.291
2004.07;5.613.393.139
2004.08;5.708.244.289
2004.09;5.834.890.104
2004.10;5.932.061.045
2004.11;6.161.108.902
2004.12;5.767.016.101
2005.01;5.349.747.825
2005.02;5.071.993.155
2005.03;5.998.528.365
2005.04;5.423.850.538
2005.05;6.462.855.358
2005.06;6.257.323.744
2005.07;6.147.753.231
2005.08;7.784.322.183
2005.09;6.401.418.258
2005.10;6.327.019.742
2005.11;6.806.236.340
2005.12;6.661.166.815
2006.01;6.552.292.447
2006.02;6.072.453.364
2006.03;7.814.875.149
2006.04;6.845.903.574
2006.05;7.383.568.872
2006.06;7.464.246.107
2006.07;8.085.255.913
2006.08;9.212.212.077
2006.09;8.207.792.935
2006.10;8.830.358.685
2006.11;8.761.166.328
2006.12;7.300.971.419
2007.01;8.562.978.418
2007.02;7.340.898.045
2007.03;9.627.971.296
2007.04;8.382.641.249
2007.05;9.904.454.627
2007.06;9.417.185.041
2007.07;10.896.754.195
2007.08;11.683.452.779
2007.09;10.832.943.047
2007.10;12.481.158.132
2007.11;12.175.812.615
2007.12;10.735.699.676
2008.01;12.487.791.035
2008.02;12.099.971.906
2008.03;11.772.927.059
2008.04;12.477.739.957
2008.05;15.374.637.766
2008.06;16.016.786.902
2008.07;17.279.442.484
2008.08;17.596.371.420
2008.09;17.403.299.136
2008.10;17.329.401.265
2008.11;13.236.431.392
2008.12;11.632.287.304
2009.01;10.439.093.990
2009.02;7.955.653.234
2009.03;10.191.230.376
2009.04;8.763.503.232
2009.05;9.500.591.071
2009.06;10.009.203.076
2009.07;11.380.715.202
2009.08;10.934.048.488
2009.09;12.698.039.220
2009.10;12.910.058.824
2009.11;12.182.273.476
2009.12;12.433.201.334
2010.01;11.628.213.109
2010.02;11.936.118.599
2010.03;15.181.212.723
2010.04;14.007.783.168
2010.05;14.374.167.768
2010.06;14.960.403.236
2010.07;16.464.840.453
2010.08;16.961.829.274
2010.09;17.891.795.638
2010.10;16.685.019.583
2010.11;17.538.417.516
2010.12;15.707.163.779
2011.01;14.962.070.227
2011.02;15.689.000.891
2011.03;17.872.299.348
2011.04;18.458.870.399
2011.05;19.826.222.541
2011.06;19.398.620.585
2011.07;19.259.092.355
2011.08;22.405.400.011
2011.09;20.356.258.250
2011.10;19.918.996.728
2011.11;21.345.663.330
2011.12;18.477.262.036
2012.01;17.589.407.302
2012.02;16.476.146.495
2012.03;19.033.764.217
2012.04;18.849.751.858
2012.05;20.417.070.958
2012.06;18.709.216.579
2012.07;18.294.468.661
2012.08;19.312.716.179
2012.09;17.605.428.014
2012.10;20.395.170.133
2012.11;20.821.071.301
2012.12;17.662.214.372
2013.01;20.156.726.433
2013.02;16.981.570.962
2013.03;19.281.997.605
2013.04;21.788.737.806
2013.05;21.203.755.901
2013.06;18.986.750.021
2013.07;22.867.575.854
2013.08;20.364.218.693
2013.09;19.035.573.348
2013.10;23.201.590.344
2013.11;19.280.001.764
2013.12;18.352.387.728
2014.01;20.238.121.344
2014.02;18.190.582.391
2014.03;17.640.547.408
2014.04;19.352.300.589
2014.05;20.229.371.571
2014.06;18.260.985.106
2014.07;21.610.393.823
2014.08;19.437.036.957
2014.09;20.722.266.356
2014.10;19.635.310.320
2014.11;18.191.864.947
2014.12;17.314.237.984
2015.01;17.000.888.866
2015.02;15.063.076.630
2015.03;16.660.194.460
2015.04;14.799.978.318
2015.05;14.153.162.462
2015.06;15.239.765.263
2015.07;16.286.388.117
2015.08;12.937.800.630
2015.09;13.336.913.433
2015.10;14.194.772.010
2015.11;12.744.978.873
2015.12;10.686.340.015
2016.01;10.455.954.695
2016.02;10.448.566.313
2016.03;11.706.198.715
2016.04;10.658.991.407
2016.05;11.291.198.938
2016.06;12.923.892.615
2016.07;11.906.417.753
2016.08;13.000.671.538
2016.09;12.141.043.357
2016.10;11.518.693.498
2016.11;11.603.000.026
2016.12;11.666.728.798
2017.01;12.335.328.289
2017.02;11.046.775.404
2017.03;13.562.894.075
2017.04;11.459.643.696
2017.05;12.968.955.269
2017.06;13.408.998.263
2017.07;13.263.065.205
2017.08;14.789.290.641
2017.09;14.242.528.368
2017.10;14.598.898.881
2017.11;13.951.600.049
2017.12;13.323.465.863
2018.01;15.114.215.063
2018.02;13.268.767.883
2018.03;14.668.560.310
2018.04;14.653.559.274
2018.05;14.039.984.530
2018.06;15.008.152.809
2018.07;17.759.842.765
2018.08;19.768.276.314
2018.09;14.948.421.194
2018.10;16.921.935.159
2018.11;15.529.846.968
2018.12;13.640.421.233
2019.01;17.453.376.542
2019.02;13.566.766.788
2019.03;14.066.000.746
2019.04;14.664.020.352
2019.05;16.130.590.785
2019.06;13.944.367.799
2019.07;18.032.908.964
2019.08;17.603.930.758
2019.09;15.362.321.786
2019.10;16.987.200.927
2019.11;14.868.295.894
2019.12;13.248.186.239
2020.01;17.190.165.488
2020.02;13.849.450.579
2020.03;14.266.744.622
2020.04;11.431.019.725
2020.05;10.681.945.943
2020.06;10.977.106.324
2020.07;11.814.764.185
2020.08;11.585.200.604
2020.09;13.139.951.686
2020.10;13.245.304.357
2020.11;14.856.582.072
2020.12;15.748.589.294
2021.01;15.167.392.393
2021.02;14.539.172.569
2021.03;17.865.278.864
2021.04;16.096.324.095
2021.05;17.664.681.736
2021.06;17.843.605.079
2021.07;18.128.645.229
2021.08;19.557.276.638
2021.09;19.975.447.581
2021.10;20.538.918.428
2021.11;21.611.840.519
2021.12;20.419.466.049
2022.01;19.839.036.895
2022.02;18.884.032.639
2022.03;21.809.139.241
2022.04;20.742.942.801
2022.05;24.685.194.348
2022.06;23.852.259.120
2022.07;24.487.010.025
2022.08;26.680.226.835
2022.09;24.892.711.361
2022.10;23.477.105.126
2022.11;21.451.985.909
2022.12;21.809.042.646
2023.01;20.511.168.894
2023.02;17.669.835.440
2023.03;22.071.631.023
2023.04;19.145.984.913
2023.05;21.688.303.202
2023.06;19.523.548.217
2023.07;20.121.012.529
2023.08;21.468.484.469
2023.09;19.531.513.320
2023.10;20.500.945.877
2023.11;19.097.348.843
2023.12;19.463.062.497
2024.01;20.506.556.064
2024.02;18.217.925.231
2024.03;20.490.209.586
2024.04;21.896.365.060
2024.05;21.888.476.596
2024.06;22.403.501.244
2024.07;23.289.908.259
2024.08;24.219.210.009
2024.09;23.391.814.867
2024.10;25.209.647.872
2024.11;21.110.834.322
2024.12;20.245.157.064
2025.01;23.065.695.606
2025.02;23.223.294.562
2025.03;20.993.109.199
2025.04;22.236.966.793
2025.05;22.877.596.732
2025.06;23.191.496.301
2025.07;25.151.478.459
2025.08;23.597.386.452
2025.09;27.367.907.485
2025.10;24.843.420.225
2025.11;22.429.868.148
2025.12;21.404.724.464
